district,value
Dhaka,52
Khulna,10
Chittagong,2
Madaripur,12
Rangpur,3
Sylhet,0
Sunamganj,0
Barguna ,0
Barisal ,0
Bhola ,0
Jhalokati ,0
Patuakhali ,0
Pirojpur ,0
Bandarban,0
Brahmanbaria,0
Chandpur ,0
Chittagong, 0
Comilla, 0
Cox's Bazar,0
Feni District	,0
Khagrachhari ,0
Lakshmipur ,0
Noakhali ,0
Rangamati ,0
Faridpur,0
Gazipur ,0
Gopalganj,0
Kishoreganj ,0
Manikganj,0
Munshiganj ,0
Narayanganj ,0
Narsingdi ,0
Rajbari ,0
Shariatpur ,0
Tangail ,0
Bagerhat ,0
Chuadanga ,0
Jashore ,0
Jhenaidah,0
Khulna ,0
Kushtia ,0
Magura ,0
Meherpur ,0
Narail ,0
Satkhira ,0
Jamalpur ,0
Mymensingh ,0
Netrokona ,0
Sherpur,0
Bogra ,0
Joypurhat ,0
Naogaon,0
Natore ,0
Chapainawabganj ,0
Pabna ,0
Rajshahi ,0
Sirajganj ,0
Dinajpur ,0
Gaibandha ,0
Kurigram ,0
Lalmonirhat,0
Nilphamari ,0
Panchagarh ,0
Rangpur ,0
Thakurgaon ,0
Habiganj ,0
Moulvibazar,0

